0,1,2,3,4,5,6,7,8,9,10,11
0.01344383,0.028861057,0.030512686,0.020473702,0.036934066,0.026617763,0.026676178,0.008291518,0.037562548,0.025134073,0.021101961,0.034459151
0.011678511,0.026851026,0.031458926,0.02172285,0.028966841,0.022309886,0.022955375,0.008491487,0.034593659,0.019179389,0.057317426,0.064643892
0.011244864,0.019652686,0.02309314,0.011076734,0.016217325,0.021815258,0.016973124,0.009731528,0.041783862,0.028019942,0.063185186,0.072290399
0.014202407,0.030555464,0.018619953,0.010842706,0.029217637,0.025907496,0.023125996,0.007582199,0.034769167,0.020331958,0.05169483,0.047963623
0.012278207,0.016450878,0.030556352,0.026168559,0.014212185,0.02762016,0.026912579,0.008032451,0.028062354,0.028179774,0.020817353,0.017044341
0.013494832,0.031600762,0.018905377,0.047291893,0.037320187,0.027032733,0.024641881,0.007295407,0.025762888,0.036051755,0.024205384,0.03848701
0.012950863,0.035199187,0.031818323,0.054713517,0.024092699,0.017222196,0.018611604,0.00603071,0.019678122,0.033454711,0.026293094,0.045466181
0.011153734,0.038097042,0.020026478,0.026362585,0.030997151,0.026020125,0.025942434,0.008767521,0.023616645,0.022872102,0.032508673,0.030139729
0.014579578,0.020492538,0.012848873,0.020829757,0.028787907,0.026102661,0.02760345,0.010118299,0.025200964,0.0212301,0.041801435,0.0451914
0.011570171,0.041042166,0.01821862,0.042155726,0.022978622,0.021816652,0.023170489,0.006185719,0.030596927,0.019018289,0.037321997,0.036322324
0.010221867,0.036901347,0.040225259,0.05026799,0.022064213,0.024997423,0.02642957,0.009003534,0.056466176,0.045763321,0.030379831,0.050499314
0.014723907,0.020282242,0.017761716,0.020596705,0.02201143,0.028453534,0.023515117,0.013810629,0.038760384,0.036341597,0.029005838,0.052988215
0.011583294,0.028946319,0.025489602,0.049113947,0.039484837,0.028232425,0.024322763,0.007408974,0.033292089,0.018377744,0.02413904,0.045109451
0.011416411,0.043449699,0.022194219,0.035268885,0.02198808,0.023247647,0.026773604,0.00669585,0.015690956,0.01790257,0.016648807,0.021828482
0.01985485,0.013634719,0.047258027,0.034934834,0.046285137,0.022657641,0.023214271,0.009491414,0.030221213,0.029995676,0.018863361,0.025317419
0.021828296,0.022965811,0.019661512,0.023041101,0.021016093,0.025964544,0.030261718,0.010590484,0.024634486,0.02518238,0.021605159,0.035194877
0.019052866,0.022974566,0.028376708,0.050012928,0.032523449,0.022539355,0.024548176,0.013152454,0.019671707,0.02700488,0.01422615,0.040576415
0.022374113,0.031619403,0.04697015,0.053038342,0.048361702,0.04006501,0.043866299,0.011783031,0.011604862,0.022099381,0.018976151,0.030433303
0.022270581,0.031893234,0.017072945,0.025179723,0.023761881,0.020931329,0.023678175,0.00627563,0.028686976,0.031613724,0.027600399,0.026030695
0.015604127,0.016199898,0.067392734,0.032877003,0.048936531,0.028597864,0.027412502,0.010541375,0.011657885,0.015045322,0.018972707,0.021720301
0.010568742,0.057560823,0.015029864,0.028678497,0.033526653,0.02681776,0.029904301,0.00643555,0.023491614,0.026680297,0.01670356,0.020556903
0.020468503,0.031293069,0.036569646,0.037730946,0.037375572,0.030306975,0.034508932,0.015159219,0.036491753,0.046402649,0.036427312,0.101334173
0.016643142,0.025785605,0.025677836,0.017084905,0.037695947,0.02802113,0.029290144,0.008556658,0.03041968,0.025758106,0.024826176,0.037665009
0.017300504,0.033021264,0.036357966,0.040432882,0.048550421,0.033634745,0.035305216,0.010586565,0.021235841,0.023374935,0.023101126,0.037894822
0.019243768,0.027144987,0.015581628,0.072883446,0.03015339,0.029325128,0.034719105,0.010566918,0.020858516,0.028170261,0.023745577,0.022316841
0.020437892,0.02695867,0.022154725,0.019023096,0.029074411,0.030301715,0.034251766,0.011388565,0.02518308,0.030098365,0.024944399,0.027059953
0.016722986,0.033915683,0.02043138,0.024773695,0.043689971,0.029600351,0.032501469,0.01094686,0.02115564,0.025266387,0.026226136,0.02911032
0.019127388,0.049167994,0.018542215,0.04436851,0.015020468,0.03452485,0.035903556,0.010066818,0.017683315,0.020790056,0.025082176,0.025206791
0.021718418,0.040664521,0.020551477,0.051835754,0.015370008,0.027357216,0.027595251,0.008458915,0.024313181,0.02834327,0.02462646,0.035343889
